exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.mobilenet.khartoum.n,33.15,0,52.62,0,12.86,0,69.34,0,0.0
xh.deeplab.mobilenet.khartoum.n,33.15,0,52.62,0,12.86,0,69.34,0,0.0
