exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.mobilenet.paris.n,32.94,0,57.48,0,66.76,0,26.41,0,0.0
xh.deeplab.mobilenet.paris.n.test_bn,40.5,0,55.82,0,66.76,0,29.66,0,0.0
