exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.mobilenet.shanghai.n,71.39,0,48.16,0,38.3,0,31.75,0,0.0
xh.deeplab.mobilenet.shanghai.n.test_bn,71.39,0,53.34,0,47.23,0,42.47,0,0.0
