source,Shanghai,Vegas,Paris,Khartoum
n.test,71.39,48.16,38.3,31.75
n.test_bn,71.39,53.34,47.23,42.47
n.test,15.1,80.63,16.22,16.31
n.test_bn,48.08,80.63,53.52,49.82
n.test,32.94,57.48,66.76,26.41
n.test_bn,40.5,55.82,66.76,29.66
n.test,33.15,52.62,12.86,69.34
n.test_bn,35.94,52.26,37.03,69.34
