source,Shanghai,Vegas,Paris,Khartoum
shanghai.test,71.39,48.16,38.3,31.75
shanghai.test_bn,71.39,53.34,47.23,42.47
vegas.test,15.1,80.63,16.22,16.31
vegas.test_bn,48.08,80.63,53.52,49.82
paris.test,32.94,57.48,66.76,26.41
paris.test_bn,40.5,55.82,66.76,29.66
khartoum.test,33.15,52.62,12.86,69.34
khartoum.test_bn,35.94,52.26,37.03,69.34
