exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.resnet.vegas,18.32,0,81.64,0,35.74,0,7.24,0,0.0
xh.deeplab.resnet.vegas.test_bn,47.5,0,81.64,0,51.44,0,43.0,0,0.0
