exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.resnet.shanghai,71.46,0,56.07,0,36.0,0,50.11,0,0.0
xh.deeplab.resnet.shanghai.test_bn,71.46,0,53.42,0,48.2,0,51.27,0,0.0
xh.resnet.shanghai.test_csv,65.75,-5.71,45.19,-8.23,35.9,-12.3,38.82,-12.45,-9.67
