exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.resnet.khartoum,37.69,0,54.44,0,26.36,0,71.2,0,0.0
xh.deeplab.resnet.khartoum.test_bn,40.39,0,56.2,0,39.83,0,71.2,0,0.0
